Year2006,Family Number,Line,PlantHeight(in),tasselbranchNum,tasselbranchAngle_degrees
P,51,Mo265,44,4,5
P,51,Mo265,76,7,5
P,52,Mo266,74,7,10
P,52,Mo266,66,5,7
P,52,Mo266,73,5,12
P,52,Mo266,40,6,10
P,52,Mo266,66,9,15
P,52,Mo266,68,6,12
P,52,Mo266,72,8,15
P,52,Mo266,70,9,20
P,52,Mo266,73,5,12
P,52,Mo266,61,7,15
P,52,Mo266,68,9,20
P,53,Mo267,62,7,10
P,53,Mo267,55,6,15
P,53,Mo267,64,7,15
P,53,Mo267,59,5,15
P,53,Mo267,54,8,15
P,53,Mo267,70,6,10
P,53,Mo267,60,6,10
P,53,Mo267,61,8,10
P,53,Mo267,59,6,15
P,53,Mo267,48,6,12
P,53,Mo267,53,7,15
P,53,Mo267,62,4,10
P,53,Mo267,64,.,.
P,53,Mo267,69,.,.
P,54,Mo269,65,4,5
P,54,Mo269,61,4,5
P,54,Mo269,62,5,2
P,54,Mo269,73,4,2
P,54,Mo269,74,4,2
P,54,Mo269,70,2,4
P,54,Mo269,70,4,4
P,54,Mo269,73,4,4
P,54,Mo269,67,4,3
P,54,Mo269,65,3,4
P,54,Mo269,71,3,3
P,54,Mo269,70,.,.
P,54,Mo269,69,.,.
P,55,Mo272,79,5,10
P,55,Mo272,76,5,10
P,55,Mo272,77,5,10
P,55,Mo272,58,5,7
P,55,Mo272,77,6,10
P,55,Mo272,81,6,15
P,55,Mo272,77,6,10
P,55,Mo272,73,6,10
P,55,Mo272,76,7,10
P,55,Mo272,69,4,10
P,55,Mo272,67,6,7
P,55,Mo272,73,5,15
P,55,Mo272,64,6,10
P,56,Mo275,56,5,10
P,56,Mo275,61,6,10
P,56,Mo275,80,2,5
P,56,Mo275,73,4,5
P,56,Mo275,71,2,3
P,56,Mo275,54,2,5
P,56,Mo275,51,3,5
P,56,Mo275,43,4,10
P,56,Mo275,73,5,10
P,56,Mo275,71,5,10
P,56,Mo275,67,.,.
P,56,Mo275,55,.,.
P,56,Mo275,29,.,.
P,57,Mo276,67,2,15
P,57,Mo276,69,2,10
P,57,Mo276,66,3,20
P,57,Mo276,73,3,10
P,57,Mo276,67,3,10
P,57,Mo276,66,3,20
P,57,Mo276,66,3,15
P,57,Mo276,66,3,15
P,57,Mo276,68,3,20
P,57,Mo276,72,1,15
P,57,Mo276,73,2,7
P,57,Mo276,65,.,.
P,57,Mo276,69,.,.
P,58,Mo281,56,10,10
P,58,Mo281,73,11,10
P,58,Mo281,67,9,12
P,58,Mo281,63,11,10
P,58,Mo281,84,11,10
P,58,Mo281,76,12,1
P,58,Mo281,70,9,10
P,58,Mo281,70,.,.
P,58,Mo281,54,.,.
P,58,Mo281,59,.,.
P,59,Mo284,79,6,15
P,59,Mo284,74,5,12
P,59,Mo284,90,6,15
P,59,Mo284,81,5,10
P,59,Mo284,84,5,10
P,59,Mo284,87,5,10
P,59,Mo284,85,5,10
P,59,Mo284,90,4,10
P,59,Mo284,84,5,15
P,59,Mo284,87,5,10
P,59,Mo284,88,.,.
P,59,Mo284,76,.,.
P,59,Mo284,74,.,.
P,60,Mo287,64,4,20
P,60,Mo287,59,4,40
P,60,Mo287,68,6,20
P,60,Mo287,69,4,15
P,60,Mo287,78,4,20
P,60,Mo287,68,4,10
P,60,Mo287,73,5,20
P,60,Mo287,62,4,30
P,60,Mo287,63,5,20
P,60,Mo287,67,4,50
P,60,Mo287,62,.,.
P,60,Mo287,55,.,.
P,60,Mo287,65,.,.
P,60,Mo287,59,.,.
P,61,Mo288,61,4,12
P,61,Mo288,66,5,15
P,61,Mo288,66,5,17
P,61,Mo288,59,4,15
P,61,Mo288,66,6,17
P,61,Mo288,66,3,12
P,61,Mo288,65,4,15
P,61,Mo288,64,3,15
P,61,Mo288,75,5,15
P,61,Mo288,63,5,15
P,61,Mo288,70,3,10
P,61,Mo288,65,.,.
P,61,Mo288,64,.,.
P,62,Mo296,62,4,25
P,62,Mo296,49,3,15
P,62,Mo296,58,4,40
P,62,Mo296,54,3,20
P,62,Mo296,57,5,40
P,62,Mo296,57,3,35
P,62,Mo296,33,3,40
P,62,Mo296,56,3,35
P,62,Mo296,49,4,25
P,62,Mo296,67,4,40
P,62,Mo296,59,.,.
P,62,Mo296,59,.,.
P,62,Mo296,50,.,.
P,63,Mo297,51,5,20
P,63,Mo297,57,5,20
P,63,Mo297,31,5,22
P,63,Mo297,65,3,20
P,63,Mo297,58,5,15
P,63,Mo297,63,5,15
P,63,Mo297,35,5,20
P,63,Mo297,58,5,25
P,63,Mo297,55,2,10
P,63,Mo297,57,5,20
P,63,Mo297,54,.,.
P,64,Mo298,72,7,20
P,64,Mo298,73,6,30
P,64,Mo298,69,7,30
P,64,Mo298,71,5,35
P,64,Mo298,71,6,20
P,64,Mo298,74,6,25
P,64,Mo298,69,5,40
P,64,Mo298,72,7,35
P,64,Mo298,71,6,30
P,64,Mo298,69,5,35
P,64,Mo298,66,7,20
P,64,Mo298,64,.,.
P,64,Mo298,68,.,.
P,64,Mo298,55,.,.
P,64,Mo298,67,.,.
P,65,Mo309,63,3,15
P,65,Mo309,66,3,20
P,65,Mo309,56,3,7
P,65,Mo309,57,2,10
P,65,Mo309,68,4,10
P,65,Mo309,55,4,5
P,65,Mo309,74,4,5
P,65,Mo309,64,4,8
P,65,Mo309,57,2,5
P,65,Mo309,67,3,5
P,65,Mo309,71,.,.
P,65,Mo309,73,.,.
P,66,Mo310,48,3,5
P,66,Mo310,46,3,7
P,66,Mo310,30,2,12
P,66,Mo310,65,4,10
P,66,Mo310,60,3,12
P,66,Mo310,56,2,20
P,66,Mo310,37,3,10
P,66,Mo310,53,1,5
P,66,Mo310,50,3,7
P,66,Mo310,52,2,7
P,66,Mo310,48,.,.
P,66,Mo310,48,.,.
P,67,Mo311,28,4,10
P,67,Mo311,61,3,14
P,67,Mo311,60,3,12
P,67,Mo311,57,3,10
P,67,Mo311,59,3,8
P,67,Mo311,54,3,5
P,67,Mo311,53,3,10
P,67,Mo311,55,3,9
P,67,Mo311,51,4,8
P,67,Mo311,53,3,6
P,67,Mo311,23,.,.
P,67,Mo311,57,.,.
P,67,Mo311,56,.,.
P,67,Mo311,57,.,.
P,68,Mo315,46,2,5
P,68,Mo315,61,3,5
P,68,Mo315,47,3,10
P,68,Mo315,54,3,10
P,68,Mo315,43,3,10
P,68,Mo315,72,3,5
P,68,Mo315,67,3,7
P,68,Mo315,61,4,10
P,68,Mo315,71,5,10
P,68,Mo315,78,5,10
P,68,Mo315,73,.,.
P,68,Mo315,71,.,.
P,69,Mo317,56,5,25
P,69,Mo317,70,3,20
P,69,Mo317,71,5,20
P,69,Mo317,59,4,15
P,69,Mo317,70,4,15
P,69,Mo317,76,4,17
P,69,Mo317,71,5,25
P,69,Mo317,73,4,10
P,69,Mo317,63,6,20
P,69,Mo317,70,5,20
P,69,Mo317,72,.,.
P,69,Mo317,70,.,.
P,69,Mo317,70,.,.
P,70,Mo321,55,3,15
P,70,Mo321,37,5,10
P,70,Mo321,48,4,15
P,70,Mo321,54,5,10
P,70,Mo321,35,4,10
P,70,Mo321,58,4,10
P,70,Mo321,61,4,10
P,70,Mo321,60,4,10
P,70,Mo321,57,5,10
P,70,Mo321,60,4,10
P,70,Mo321,69,.,.
P,70,Mo321,62,.,.
P,70,Mo321,67,.,.
P,70,Mo321,74,.,.
P,70,Mo321,69,.,.
P,70,Mo321,70,.,.
P,70,Mo321,69,.,.
P,71,Mo322,66,6,20
P,71,Mo322,75,5,20
P,71,Mo322,75,6,15
P,71,Mo322,74,4,20
P,71,Mo322,65,4,25
P,71,Mo322,74,5,15
P,71,Mo322,71,4,25
P,71,Mo322,82,5,20
P,71,Mo322,75,1,5
P,71,Mo322,71,6,25
P,71,Mo322,78,6,30
P,71,Mo322,79,.,.
P,72,Mo323,85,5,10
P,72,Mo323,85,5,8
P,72,Mo323,86,5,7
P,72,Mo323,83,4,15
P,72,Mo323,83,5,15
P,72,Mo323,84,4,10
P,72,Mo323,74,.,.
P,72,Mo323,78,.,.
P,72,Mo323,76,.,.
P,72,Mo323,86,.,.
P,72,Mo323,90,.,.
P,72,Mo323,82,.,.
P,72,Mo323,84,.,.
P,73,Mo325,76,6,20
P,73,Mo325,82,4,25
P,73,Mo325,65,5,30
P,73,Mo325,79,4,20
P,73,Mo325,72,5,15
P,73,Mo325,63,5,20
P,73,Mo325,63,4,20
P,73,Mo325,80,5,25
P,73,Mo325,73,3,25
P,73,Mo325,48,4,25
P,73,Mo325,41,4,30
P,73,Mo325,84,4,30
P,73,Mo325,82,.,.
P,73,Mo325,44,.,.
P,73,Mo325,83,.,.
P,73,Mo325,86,.,.
P,74,Mo326,40,4,15
P,74,Mo326,53,5,20
P,74,Mo326,68,2,20
P,74,Mo326,70,5,15
P,74,Mo326,74,5,20
P,74,Mo326,74,5,25
P,74,Mo326,68,6,15
P,74,Mo326,49,3,15
P,74,Mo326,73,4,20
P,74,Mo326,70,5,15
P,74,Mo326,69,.,.
P,74,Mo326,71,.,.
P,74,Mo326,66,.,.
